 #---------------------------------------------#
 #    Anharmonic Terms Energy Contribution     #
 #---------------------------------------------#
 
Number of Terms:    73
 
Terms     Names
    1     (Ti_x-O1_x)^1(Ti_x-O1_x[0 1 0])^1(eta_1)^1
    2     (O1_x-O2_x)^2(eta_2)^1
    3     (Sr_x-O1_x)^2(eta_1)^1
    4     (O1_x-O2_x)^2(O1_y-O3_y)^2
    5     (Ti_x-O1_x)^1(Ti_y-O1_y[0 1 0])^1(Ti_x-Ti_x[1 0 0])^1
    6     (O1_x-Ti_x)^1(O1_z-Ti_z)^1(eta_5)^1
    7     (Ti_x-O1_x)^1(Ti_x-O2_x)^1(Ti_x-O3_x)^2
    8     (Ti_y-O1_y)^2(Ti_y-Ti_y[0 1 0])^1
    9     (Sr_x-O1_x)^2(Sr_y-O2_y)^1(Sr_y-O2_y[-1 -1 0])^1
   10     (Sr_x-O1_x)^2(Sr_z-O1_z)^1
   11     (O1_x-Ti_x)^1(O1_y-Sr_y[1 0 1])^1(O1_x-O2_x)^1(O1_y-O3_y[1 0 0])^1
   12     (O1_y-Ti_y)^1(O1_y-O2_y)^1(eta_2)^1
   13     (Ti_x-O1_x)^1(Ti_x-O1_x[0 1 0])^1(Ti_y-O1_y)^2
   14     (Sr_x-O1_x)^1(Sr_y-O3_y)^1(Sr_x-Ti_x[-1 0 0])^1
   15     (Ti_x-O1_x)^1(Ti_y-O1_y[0 1 0])^2(Ti_x-O3_x)^1
   16     (O1_x-Ti_x)^1(O1_x-O2_x)^1(eta_2)^1
   17     (Ti_x-O1_x)^1(Ti_x-Sr_x)^1(eta_1)^1
   18     (O1_x-Sr_x)^2(O1_z-Sr_z)^2
   19     (O1_x-Ti_x)^1(O1_x-Sr_x)^2(O1_y-O3_y[1 0 0])^1
   20     (Sr_y-O2_y)^1(Sr_z-O2_z)^1(eta_4)^1
   21     (Ti_x-O1_x)^6
   22     (Ti_x-O1_x)^4(Ti_x-O1_x[0 1 0])^2
   23     (Ti_x-O1_x)^2(Ti_x-O1_x[0 1 0])^2(eta_1)^2
   24     (O1_x-O2_x)^6
   25     (O1_x-O2_x)^4(eta_2)^2
   26     (O1_x-O2_x)^2(eta_2)^4
   27     (Sr_x-O1_x)^6
   28     (Sr_x-O1_x)^4(eta_1)^2
   29     (Sr_x-O1_x)^2(eta_1)^4
   30     (Ti_y-O1_y)^6
   31     (Ti_x-Ti_x[1 0 0])^6
   32     (Ti_x-O1_x)^2(Ti_y-O1_y[0 1 0])^2(Ti_x-Ti_x[1 0 0])^2
   33     (O1_x-Ti_x)^4(O1_z-Ti_z)^2
   34     (O1_x-Ti_x)^2(O1_z-Ti_z)^2(eta_5)^2
   35     (Ti_x-O1_x)^2(Ti_x-O2_x)^2(Ti_x-O3_x)^2
   36     (Ti_y-O1_y)^4(Ti_y-Ti_y[0 1 0])^2
   37     (Ti_y-O1_y)^2(Ti_y-Ti_y[0 1 0])^4
   38     (Sr_x-O1_x)^2(Sr_y-O2_y)^2(Sr_y-O2_y[-1 -1 0])^2
   39     (Sr_x-O1_x)^4(Sr_z-O1_z)^2
   40     (O1_y-Sr_y)^6
   41     (O1_y-O2_y)^6
   42     (O1_y-Ti_y)^4(O1_y-O2_y)^2
   43     (O1_y-Ti_y)^2(O1_y-O2_y)^4
   44     (O1_y-Ti_y)^2(O1_y-O2_y)^2(eta_2)^2
   45     (Ti_x-O1_x)^2(Ti_x-O1_x[0 1 0])^2(Ti_y-O1_y)^2
   46     (Sr_x-Ti_x)^6
   47     (Sr_x-O1_x)^2(Sr_y-O3_y)^2(Sr_x-Ti_x[-1 0 0])^2
   48     (Ti_x-O1_x)^2(Ti_y-O1_y[0 1 0])^2(Ti_x-O3_x)^2
   49     (O1_x-Ti_x)^4(O1_x-O2_x)^2
   50     (O1_x-Ti_x)^2(O1_x-O2_x)^4
   51     (O1_x-Ti_x)^2(O1_x-O2_x)^2(eta_2)^2
   52     (Ti_x-O1_x)^4(Ti_x-Sr_x)^2
   53     (Ti_x-O1_x)^2(Ti_x-Sr_x)^4
   54     (Ti_x-O1_x)^2(Ti_x-Sr_x)^2(eta_1)^2
   55     (O1_x-Ti_x)^2(O1_x-Sr_x)^2(O1_y-O3_y[1 0 0])^2
   56     (Sr_y-O1_y)^6
   57     (Sr_y-O2_y)^4(Sr_z-O2_z)^2
   58     (Sr_y-O2_y)^2(Sr_z-O2_z)^4
   59     (Sr_y-O2_y)^2(Sr_z-O2_z)^2(eta_4)^2
   60     (eta_1)^6
   61     (eta_1)^4(eta_2)^2
   62     (eta_1)^4(eta_4)^2
   63     (eta_1)^4(eta_5)^2
   64     (eta_1)^2(eta_2)^2(eta_3)^2
   65     (eta_1)^2(eta_2)^2(eta_4)^2
   66     (eta_1)^2(eta_2)^2(eta_6)^2
   67     (eta_1)^2(eta_4)^4
   68     (eta_1)^2(eta_4)^2(eta_5)^2
   69     (eta_1)^2(eta_5)^4
   70     (eta_1)^2(eta_5)^2(eta_6)^2
   71     (eta_4)^6
   72     (eta_4)^4(eta_5)^2
   73     (eta_4)^2(eta_5)^2(eta_6)^2
 
Cycle/Terms    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62   63   64   65   66   67   68   69   70   71   72   73
      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.9548690555530348E-15      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      2.2294628789739369E-11      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.3234370203703886E-12      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      2.6412923973906516E-12      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
